Plant_Species_and_variety,Treatment,Pot_Number,Pod_number,Pod_weight_grams,Bean_number,Bean_weight_grams,Seed_head _total_weight_grams,Seedheads_number,Average_ Pod_weight_grams,Average_bean_weight_milligrams,Average_beans_per_pod_number,total_weight_of_all_grains_grams,100_grain_weight_grams,Number_of_Ears,Calculated_number_of_grains_per_ear,calculated_total_number_of_grains
Pearl_Millet_Shibe,Low_ozone_heated,4,,,,,33.7,1,,,,,,,,
Pearl Millet_ICMV_225,Medium_ozone_heated,1,,,,,45,3,,,,,,,,
Pearl Millet_ICMV_226,Medium_ozone_heated,2,,,,,43.78,5,,,,,,,,
Pearl Millet_ICMV_227,Medium_ozone_heated,3,,,,,59.76,2,,,,,,,,
Pearl Millet_ICMV_228,Medium_ozone_heated,4,,,,,43.23,2,,,,,,,,
Pearl_Millet_KAT_PM5,Medium_ozone_heated,1,,,,,45.45,2,,,,,,,,
Pearl_Millet_KAT_PM6,Medium_ozone_heated,2,,,,,86.87,5,,,,,,,,
Pearl_Millet_KAT_PM7,Medium_ozone_heated,3,,,,,9.83,2,,,,,,,,
Pearl_Millet_KAT_PM8,Medium_ozone_heated,4,,,,,50.2,4,,,,,,,,
Pearl_Millet_Okashana,Medium_ozone_heated,1,,,,,54.16,2,,,,,,,,
Pearl_Millet_Okashana,Medium_ozone_heated,2,,,,,5.42,1,,,,,,,,
Pearl_Millet_Okashana,Medium_ozone_heated,3,,,,,6.45,1,,,,,,,,
Pearl_Millet_Okashana,Medium_ozone_heated,4,,,,,78.35,7,,,,,,,,
Pearl_Millet_Shibe,Medium_ozone_heated,1,,,,,34.4,2,,,,,,,,
Pearl_Millet_Shibe,Medium_ozone_heated,2,,,,,60.58,2,,,,,,,,
Pearl_Millet_Shibe,Medium_ozone_heated,3,,,,,6.48,1,,,,,,,,
Pearl_Millet_Shibe,Medium_ozone_heated,4,,,,,45.17,2,,,,,,,,
Finger_Millet_GuluE,High_ozone_heated,1,,,,,42.82,9,,,,,,,,
Finger_Millet_GuluE,High_ozone_heated,2,,,,,15.62,3,,,,,,,,
Finger_Millet_GuluE,High_ozone_heated,3,,,,,41.57,10,,,,,,,,
Finger_Millet_GuluE,High_ozone_heated,4,,,,,26.52,5,,,,,,,,
Finger_Millet_KNE814,High_ozone_heated,1,,,,,28.82,10,,,,,,,,
Finger_Millet_KNE815,High_ozone_heated,2,,,,,31.92,9,,,,,,,,
Finger_Millet_KNE816,High_ozone_heated,3,,,,,51.03,15,,,,,,,,
